Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Senegal,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681,1.97861,Africa,2019,0.0,45
Niger,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176,2.09469,Africa,2019,0.0,32
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,1.87319,Africa,2019,0.0,40
Armenia,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Armenia,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,1.97864,Asia,2019,0.0,42
Iran,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,1.99817,Asia,2019,0.0,26
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,2.15604,South America,2019,0.0,29
Georgia,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,1.87031,Asia,2019,0.0,56
Kenya,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,1.88326,Africa,2019,0.0,28
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Mauritania,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955,1.9263,Africa,2019,0.0,28
Tunisia,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,2.68413,Africa,2019,0.0,43
Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,2.60904,Asia,2019,0.0,26
Iraq,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636,1.81657,Asia,2019,0.0,20
